code,term
14B3.,H/O: [COAD] or [bronchitis]
H3...,Chronic obstructive lung disease
H31..,Chronic bronchitis
H310.,Simple chronic bronchitis
H3101,Smokers' cough
H310z,Simple chronic bronchitis NOS
H311.,Mucopurulent chronic bronchitis
H311z,Mucopurulent chronic bronchitis NOS
H3120,Chronic asthmatic bronchitis
H3121,Emphysematous bronchitis
H3122,Acute exacerbation of chronic obstructive airways disease
H312z,Obstructive chronic bronchitis NOS
H313.,Mixed simple and mucopurulent chronic bronchitis
H31y.,Other chronic bronchitis
H31y0,Chronic tracheitis
H31y1,Chronic tracheobronchitis
H31yz,Other chronic bronchitis NOS
H31z.,Chronic bronchitis NOS
H32..,Emphysema
H320.,Chronic bullous emphysema
H3200,Segmental bullous emphysema
H3201,Zonal bullous emphysema
H3202,Giant bullous emphysema
H320z,Chronic bullous emphysema NOS
H321.,Panlobular emphysema
H322.,Centrilobular emphysema
H32y.,Other emphysema
H32y0,Acute vesicular emphysema
H32y2,MacLeods syndrome
H32z.,Emphysema NOS
H3y..,Other specified chronic obstructive airways disease
H3y0.,Chronic obstruct pulmonary dis with acute lower resp infectn
H3z..,Chronic obstructive airways disease NOS
H581.,(Emphysema [interstitial]/[mediastinal])/(pneumomediastinum)
X101i,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
X101l,Bronchiolitis obliterans
XE0YM,Purulent chronic bronchitis
XE0YN,Bullous emphysema with collapse
XE0YO,Atrophic (senile) emphysema
XE0YP,Other emphysema NOS
XE2Pp,History of chronic obstructive pulmonary disease
XM1Qc,Tension pneumatocele
XaEIV,Mild chronic obstructive pulmonary disease
XaEIW,Moderate chronic obstructive pulmonary disease
XaEIY,Severe chronic obstructive pulmonary disease
XaIND,End stage chronic obstructive airways disease
XaIQg,Interstitial pulmonary emphysema
XaN4a,Very severe chronic obstructive pulmonary disease
XaPzu,At risk of chronic obstructive pulmonary diseas exacerbation
